## Lists can be generated from http://www.ncbi.nlm.nih.gov/Traces/wgs/
Prefix	DIV	BioProject	BioSample	Organism	# of Contigs	Total length of Contigs, b	Has annotated Contigs	# of Scaffolds	Scaffolds range	Has annotated Scaffolds	# of Proteins	Genome range	Update date	Create date	Status
AGLN01	BCT	PRJNA72061	SAMN02436516	STREPTOCOCCUS MUTANS TCI-218	136	1789375	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLO01	BCT	PRJNA72063	SAMN02436607	STREPTOCOCCUS MUTANS TCI-219	131	1809266	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLP01	BCT	PRJNA72065	SAMN02436453	STREPTOCOCCUS MUTANS TCI-220	145	1790639	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLQ01	BCT	PRJNA72067	SAMN02436454	STREPTOCOCCUS MUTANS TCI-222	101	1861625	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLR01	BCT	PRJNA72069	SAMN02436517	STREPTOCOCCUS MUTANS TCI-223	134	1809565	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLS01	BCT	PRJNA72071	SAMN02436355	STREPTOCOCCUS MUTANS TCI-224	133	1797735	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLT01	BCT	PRJNA72073	SAMN02436356	STREPTOCOCCUS MUTANS TCI-227	130	1802905	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLU01	BCT	PRJNA72075	SAMN02436518	STREPTOCOCCUS MUTANS TCI-228	109	1859995	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLV01	BCT	PRJNA72077	SAMN02436608	STREPTOCOCCUS MUTANS TCI-234	106	1854930	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLW01	BCT	PRJNA72079	SAMN02436609	STREPTOCOCCUS MUTANS TCI-239	86	1898217	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLX01	BCT	PRJNA72081	SAMN02436455	STREPTOCOCCUS MUTANS TCI-242	61	1914397	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLY01	BCT	PRJNA72083	SAMN02436519	STREPTOCOCCUS MUTANS TCI-243	66	1914702	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLZ01	BCT	PRJNA72085	SAMN02436436	STREPTOCOCCUS MUTANS TCI-244	143	1771140	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMA01	BCT	PRJNA72087	SAMN02436437	STREPTOCOCCUS MUTANS TCI-249	98	1879409	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMB01	BCT	PRJNA72089	SAMN02436520	STREPTOCOCCUS MUTANS TCI-256	110	1881106	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMC01	BCT	PRJNA72091	SAMN02436357	STREPTOCOCCUS MUTANS TCI-260	141	1799001	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMD01	BCT	PRJNA72093	SAMN02436438	STREPTOCOCCUS MUTANS TCI-264	137	1824597	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGME01	BCT	PRJNA72095	SAMN02436439	STREPTOCOCCUS MUTANS TCI-267	127	1819735	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMF01	BCT	PRJNA72097	SAMN02436521	STREPTOCOCCUS MUTANS TCI-268	92	1855678	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMG01	BCT	PRJNA72099	SAMN02436358	STREPTOCOCCUS MUTANS TCI-278	98	1856336	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMH01	BCT	PRJNA72101	SAMN02436440	STREPTOCOCCUS MUTANS TCI-279	136	1809821	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMI01	BCT	PRJNA72103	SAMN02436610	STREPTOCOCCUS MUTANS TCI-280	119	1818786	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMJ01	BCT	PRJNA72105	SAMN02436611	STREPTOCOCCUS MUTANS TCI-289	140	1798201	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMK01	BCT	PRJNA72107	SAMN02436522	STREPTOCOCCUS MUTANS TCI-292	137	1810877	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGML01	BCT	PRJNA72109	SAMN02436441	STREPTOCOCCUS MUTANS TCI-294	109	1891335	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMM01	BCT	PRJNA72111	SAMN02436523	STREPTOCOCCUS MUTANS TCI-298	136	1743498	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMN01	BCT	PRJNA72115	SAMN02436612	STREPTOCOCCUS MUTANS TCI-30	103	1880026	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMO01	BCT	PRJNA71947	SAMN02436613	STREPTOCOCCUS MUTANS TCI-399	53	1935728	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMP01	BCT	PRJNA71949	SAMN02436359	STREPTOCOCCUS MUTANS TCI-400	93	1869620	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMQ01	BCT	PRJNA71955	SAMN02436360	STREPTOCOCCUS MUTANS TCI-51	57	1936890	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMR01	BCT	PRJNA71957	SAMN02436361	STREPTOCOCCUS MUTANS TCI-62	135	1804833	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMS01	BCT	PRJNA71959	SAMN02436362	STREPTOCOCCUS MUTANS TCI-70	109	1855602	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMT01	BCT	PRJNA71961	SAMN02436363	STREPTOCOCCUS MUTANS TCI-75	108	1879483	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMU01	BCT	PRJNA71963	SAMN02436596	STREPTOCOCCUS MUTANS TCI-78	110	1883089	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMV01	BCT	PRJNA71965	SAMN02436524	STREPTOCOCCUS MUTANS TCI-82	48	1941227	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMW01	BCT	PRJNA71967	SAMN02436442	STREPTOCOCCUS MUTANS TCI-85	64	1921849	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMX01	BCT	PRJNA71969	SAMN02436525	STREPTOCOCCUS MUTANS TCI-86	128	1820007	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMY01	BCT	PRJNA71971	SAMN02436597	STREPTOCOCCUS MUTANS TCI-92	49	1941392	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGMZ01	BCT	PRJNA71973	SAMN02436526	STREPTOCOCCUS MUTANS TCI-96	121	1800548	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGNA01	BCT	PRJNA71975	SAMN02436527	STREPTOCOCCUS MUTANS TCI-99	132	1814786	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGWE01	BCT	PRJNA49851	SAMN02428989	STREPTOCOCCUS MUTANS U2B	103	1960144	yes	0		no	1949		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRB01	BCT	PRJNA49757	SAMN02429079	STREPTOCOCCUS MUTANS 8ID3	100	1908740	yes	0		no	1894		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRC01	BCT	PRJNA49853	SAMN02428982	STREPTOCOCCUS MUTANS S1B	132	2006359	yes	0		no	1984		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRD01	BCT	PRJNA49855	SAMN02428983	STREPTOCOCCUS MUTANS SA38	91	1992890	yes	0		no	1880		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRE01	BCT	PRJNA49859	SAMN02429080	STREPTOCOCCUS MUTANS SA41	104	1952324	yes	0		no	1925		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRF01	BCT	PRJNA49861	SAMN02429033	STREPTOCOCCUS MUTANS SF12	107	1925888	yes	0		no	1925		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRG01	BCT	PRJNA49863	SAMN02429034	STREPTOCOCCUS MUTANS R221	109	1983724	yes	0		no	1981		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRH01	BCT	PRJNA49865	SAMN02428927	STREPTOCOCCUS MUTANS M230	139	1917450	yes	0		no	1898		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRI01	BCT	PRJNA49867	SAMN02429035	STREPTOCOCCUS MUTANS OMZ175	130	2003229	yes	0		no	1975		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRJ01	BCT	PRJNA49759	SAMN02429081	STREPTOCOCCUS MUTANS 15JP3	87	1932974	yes	0		no	1905		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRK01	BCT	PRJNA49761	SAMN02429082	STREPTOCOCCUS MUTANS 1SM1	102	2068485	yes	0		no	1954		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRL01	BCT	PRJNA49763	SAMN02429083	STREPTOCOCCUS MUTANS 4SM1	97	2005341	yes	0		no	1909		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRM01	BCT	PRJNA49765	SAMN02429036	STREPTOCOCCUS MUTANS 3SN1	142	2034346	yes	0		no	2032		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRN01	BCT	PRJNA49767	SAMN02428984	STREPTOCOCCUS MUTANS 2ST1	111	1965562	yes	0		no	1941		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRO01	BCT	PRJNA49753	SAMN02429037	STREPTOCOCCUS MUTANS 11A1	111	1921647	yes	0		no	1905		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRP01	BCT	PRJNA49769	SAMN02429084	STREPTOCOCCUS MUTANS 11SSST2	105	1969615	yes	0		no	1930		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRQ01	BCT	PRJNA49771	SAMN02429085	STREPTOCOCCUS MUTANS 4VF1	127	2008731	yes	0		no	1910		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRR01	BCT	PRJNA49773	SAMN02429086	STREPTOCOCCUS MUTANS 15VF2	117	2021665	yes	0		no	1933		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRS01	BCT	PRJNA49775	SAMN02429071	STREPTOCOCCUS MUTANS 2VS1	98	1970005	yes	0		no	1932		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRT01	BCT	PRJNA49777	SAMN02428928	STREPTOCOCCUS MUTANS 11VS1	155	1861960	yes	0		no	1865		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRU01	BCT	PRJNA49779	SAMN02428985	STREPTOCOCCUS MUTANS 5SM3	86	1943643	yes	0		no	1904		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRV01	BCT	PRJNA49781	SAMN02428986	STREPTOCOCCUS MUTANS NFSM2	115	1990978	yes	0		no	1964		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRW01	BCT	PRJNA49783	SAMN02428929	STREPTOCOCCUS MUTANS NVAB	102	1944173	yes	0		no	1939		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRX01	BCT	PRJNA49785	SAMN02429025	STREPTOCOCCUS MUTANS A9	105	1868494	yes	0		no	1863		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRY01	BCT	PRJNA49787	SAMN02429072	STREPTOCOCCUS MUTANS N29	110	1965509	yes	0		no	1916		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHRZ01	BCT	PRJNA49789	SAMN02429073	STREPTOCOCCUS MUTANS NMT4863	97	1926604	yes	0		no	1883		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSA01	BCT	PRJNA49791	SAMN02428930	STREPTOCOCCUS MUTANS A19	108	1984020	yes	0		no	1946		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSB01	BCT	PRJNA49793	SAMN02429074	STREPTOCOCCUS MUTANS U138	153	1991956	yes	0		no	1969		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSC01	BCT	PRJNA49795	SAMN02428931	STREPTOCOCCUS MUTANS G123	122	1977039	yes	0		no	1954		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSD01	BCT	PRJNA49797	SAMN02429075	STREPTOCOCCUS MUTANS M21	106	1961974	yes	0		no	1927		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSE01	BCT	PRJNA49799	SAMN02429026	STREPTOCOCCUS MUTANS T4	113	1966047	yes	0		no	1940		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSF01	BCT	PRJNA49801	SAMN02428987	STREPTOCOCCUS MUTANS N34	102	1962026	yes	0		no	1917		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSG01	BCT	PRJNA49803	SAMN02429027	STREPTOCOCCUS MUTANS NFSM1	131	2002107	yes	0		no	2001		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSH01	BCT	PRJNA49805	SAMN02429028	STREPTOCOCCUS MUTANS NLML4	116	1968630	yes	0		no	1935		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSI01	BCT	PRJNA49807	SAMN02428932	STREPTOCOCCUS MUTANS NLML5	105	1941389	yes	0		no	1882		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSJ01	BCT	PRJNA49809	SAMN02429076	STREPTOCOCCUS MUTANS NLML9	99	1996009	yes	0		no	1975		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSK01	BCT	PRJNA49811	SAMN02428988	STREPTOCOCCUS MUTANS M2A	115	1930238	yes	0		no	1936		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSL01	BCT	PRJNA49813	SAMN02429077	STREPTOCOCCUS MUTANS N3209	113	1953403	yes	0		no	1918		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSM01	BCT	PRJNA49815	SAMN02428933	STREPTOCOCCUS MUTANS N66	113	2006044	yes	0		no	2022		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSN01	BCT	PRJNA49817	SAMN02429029	STREPTOCOCCUS MUTANS NV1996	130	2015161	yes	0		no	1986		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSO01	BCT	PRJNA49819	SAMN02429078	STREPTOCOCCUS MUTANS W6	114	1991361	yes	0		no	1975		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSP01	BCT	PRJNA49821	SAMN02429030	STREPTOCOCCUS MUTANS SF1	185	2081419	yes	0		no	2100		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSQ01	BCT	PRJNA49823	SAMN02429031	STREPTOCOCCUS MUTANS SF14	97	1944789	yes	0		no	1913		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSR01	BCT	PRJNA49825	SAMN02429032	STREPTOCOCCUS MUTANS SM6	112	1960471	yes	0		no	1933		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSS01	BCT	PRJNA49827	SAMN02429067	STREPTOCOCCUS MUTANS ST1	131	1980457	yes	0		no	1969		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHST01	BCT	PRJNA49829	SAMN02428976	STREPTOCOCCUS MUTANS ST6	121	1925853	yes	0		no	1922		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSU01	BCT	PRJNA49831	SAMN02428977	STREPTOCOCCUS MUTANS U2A	163	2099425	yes	0		no	2082		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSV01	BCT	PRJNA49833	SAMN02429068	STREPTOCOCCUS MUTANS NLML8	135	1963147	yes	0		no	1940		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSW01	BCT	PRJNA49835	SAMN02429023	STREPTOCOCCUS MUTANS NLML1	139	2036028	yes	0		no	1940		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSX01	BCT	PRJNA49755	SAMN02429024	STREPTOCOCCUS MUTANS 1ID3	90	1872370	yes	0		no	1834		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSY01	BCT	PRJNA49837	SAMN02429069	STREPTOCOCCUS MUTANS 14D	102	1969096	yes	0		no	1941		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHSZ01	BCT	PRJNA49839	SAMN02428978	STREPTOCOCCUS MUTANS 21	120	1990074	yes	0		no	1972		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHTA01	BCT	PRJNA49841	SAMN02428979	STREPTOCOCCUS MUTANS 66-2A	113	1953006	yes	0		no	1897		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHTB01	BCT	PRJNA49843	SAMN02429070	STREPTOCOCCUS MUTANS B	111	1948124	yes	0		no	1924		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHTC01	BCT	PRJNA49845	SAMN02428980	STREPTOCOCCUS MUTANS SM4	152	1977578	yes	0		no	1972		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHTD01	BCT	PRJNA49847	SAMN02428981	STREPTOCOCCUS MUTANS SM1	114	1994929	yes	0		no	1968		2013-12-05 00:00:00	2013-02-11 00:00:00	1
AHTE01	BCT	PRJNA49849	SAMN02428934	STREPTOCOCCUS MUTANS 24	119	2013675	yes	0		no	1995		2013-12-05 00:00:00	2013-02-11 00:00:00	1
ALYO01	BCT	PRJNA173247	SAMN02641534	STREPTOCOCCUS MUTANS B05SM11	53	2036366	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALYP01	BCT	PRJNA173248	SAMN02641535	STREPTOCOCCUS MUTANS B13SM1	46	2151929	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALYQ01	BCT	PRJNA173249	SAMN02641536	STREPTOCOCCUS MUTANS B12SM1	91	2173582	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALYR01	BCT	PRJNA173250	SAMN02641537	STREPTOCOCCUS MUTANS B084SM-A	61	2048211	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALYS01	BCT	PRJNA173251	SAMN02641538	STREPTOCOCCUS MUTANS B107SM-B	57	2102707	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALYT01	BCT	PRJNA173252	SAMN02641539	STREPTOCOCCUS MUTANS B07SM2	49	2222263	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALYU01	BCT	PRJNA173254	SAMN02641540	STREPTOCOCCUS MUTANS B09SM1	106	2154480	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALYV01	BCT	PRJNA173255	SAMN02641541	STREPTOCOCCUS MUTANS B24SM2	63	2289140	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALYW01	BCT	PRJNA173256	SAMN02641542	STREPTOCOCCUS MUTANS B102SM-B	104	2095204	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALYX01	BCT	PRJNA173257	SAMN02641543	STREPTOCOCCUS MUTANS B112SM-A	44	2259163	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALYY01	BCT	PRJNA173258	SAMN02641544	STREPTOCOCCUS MUTANS B04SM5	81	2077621	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALYZ01	BCT	PRJNA173259	SAMN02641545	STREPTOCOCCUS MUTANS B082SM-A	53	2126752	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALZA01	BCT	PRJNA173260	SAMN02641546	STREPTOCOCCUS MUTANS B06SM2	66	2219920	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALZB01	BCT	PRJNA173261	SAMN02641547	STREPTOCOCCUS MUTANS B85SM-B	46	2101922	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALZC01	BCT	PRJNA173262	SAMN02641548	STREPTOCOCCUS MUTANS B88SM-A	75	2061948	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALZD01	BCT	PRJNA173263	SAMN02641549	STREPTOCOCCUS MUTANS STR. B16 P SM1	58	2329852	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALZE01	BCT	PRJNA173265	SAMN02641550	STREPTOCOCCUS MUTANS B23SM1	87	2095411	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALZF01	BCT	PRJNA173268	SAMN02641551	STREPTOCOCCUS MUTANS B111SM-A	39	2124986	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
ALZG01	BCT	PRJNA173269	SAMN02641552	STREPTOCOCCUS MUTANS B114SM-A	53	2110426	no	0		no	0		2014-07-09 00:00:00	2014-01-24 00:00:00	1
