#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Listeria monocytogenes SLCC5850","SLCC5850",20017,SAMEA2272672 ,PRJEA51861,"Terrabacteria group","Firmicutes",GCA_000307045.1 ,2.90714,38,chromosome:NC_018592.1/FR733647.1,-,1,2969,2836,2012/09/10,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/045/GCF_000307045.1_ASM30704v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/045/GCA_000307045.1_ASM30704v1
"Listeria monocytogenes SLCC2376","SLCC2376",20017,SAMEA2272177 ,PRJEA51863,"Terrabacteria group","Firmicutes",GCA_000307065.1 ,2.84018,38.3,chromosome:NC_018590.1/FR733651.1,-,1,2864,2741,2012/09/10,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/065/GCF_000307065.1_ASM30706v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/065/GCA_000307065.1_ASM30706v1
"Listeria monocytogenes L312","L312",20017,SAMEA2272305 ,PRJEA51857,"Terrabacteria group","Firmicutes",GCA_000307085.1 ,2.91235,38.1,chromosome:NC_018642.1/FR733642.2,-,1,2935,2823,2012/09/10,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/085/GCF_000307085.1_ASM30708v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/085/GCA_000307085.1_ASM30708v1
"Listeria monocytogenes SLCC2378","SLCC2378",20017,SAMEA2272689 ,PRJEA51729,"Terrabacteria group","Firmicutes",GCA_000307615.1 ,2.94136,38,chromosome:NC_018585.1/FR733644.1,-,1,2978,2847,2012/09/10,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/615/GCF_000307615.1_ASM30761v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/615/GCA_000307615.1_ASM30761v1
"Listeria monocytogenes serotype 4b str. LL195","LL195",20017,SAMEA2272544 ,PRJEB418,"Terrabacteria group","Firmicutes",GCA_000318055.1 ,2.90466,38,chromosome:NC_019556.1/HF558398.1,-,1,2943,2825,2012/11/21,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/055/GCF_000318055.1_ASM31805v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/055/GCA_000318055.1_ASM31805v1
"Listeria monocytogenes","R2-502",20017,SAMN02203126 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_000438585.1 ,3.0916,37.8646,chromosome:NC_021838.1/CP006594.1; plasmid unnamed:NC_021828.1/CP006595.1,-,2,3156,3030,2013/07/16,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/585/GCF_000438585.1_ASM43858v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/585/GCA_000438585.1_ASM43858v1
"Listeria monocytogenes","C1-387",20017,SAMN02203127 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_000438605.1 ,2.98895,38,chromosome:NC_021823.1/CP006591.1,-,1,3060,2941,2013/07/16,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/605/GCF_000438605.1_ASM43860v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/605/GCA_000438605.1_ASM43860v1
"Listeria monocytogenes","J2-064",20017,SAMN02203122 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_000438625.1 ,2.94322,38,chromosome:NC_021824.1/CP006592.1,-,1,2962,2859,2013/07/16,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/625/GCF_000438625.1_ASM43862v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/625/GCA_000438625.1_ASM43862v1
"Listeria monocytogenes","J2-031",20017,SAMN02203124 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_000438645.1 ,2.95891,38,chromosome:NC_021837.1/CP006593.1,-,1,3042,2909,2013/07/16,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/645/GCF_000438645.1_ASM43864v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/645/GCA_000438645.1_ASM43864v1
"Listeria monocytogenes","J1-108",20017,SAMN02203123 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_000438665.1 ,2.98189,38,chromosome:NC_021825.1/CP006596.1,-,1,3036,2911,2013/07/16,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/665/GCF_000438665.1_ASM43866v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/665/GCA_000438665.1_ASM43866v1
"Listeria monocytogenes","N1-011A",20017,SAMN02203128 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_000438685.2 ,3.2433,37.9541,chromosome:NC_021826.1/CP006597.1; plasmid unnamed:NC_022045.1/CP006611.1,-,2,3337,3201,2013/07/16,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/685/GCF_000438685.2_ASM43868v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/685/GCA_000438685.2_ASM43868v2
"Listeria monocytogenes","J1776",20017,SAMN02203125 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_000438705.2 ,3.00952,37.9425,chromosome:NC_021839.1/CP006598.1; plasmid unnamed:NC_022046.1/CP006612.1,-,2,3079,2955,2013/07/16,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/705/GCF_000438705.2_ASM43870v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/705/GCA_000438705.2_ASM43870v2
"Listeria monocytogenes","J1817",20017,SAMN02203129 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_000438725.2 ,3.00952,37.9425,chromosome:NC_021827.1/CP006599.1; plasmid unnamed:NC_022047.1/CP006613.1,-,2,3078,2953,2013/07/16,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/725/GCF_000438725.2_ASM43872v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/725/GCA_000438725.2_ASM43872v2
"Listeria monocytogenes","J1926",20017,SAMN02203130 ,PRJNA203445,"Terrabacteria group","Firmicutes",GCA_000438745.2 ,3.00951,37.9425,chromosome:NC_021840.1/CP006600.1; plasmid unnamed:NC_022051.1/CP006614.1,-,2,3079,2953,2013/07/16,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/745/GCF_000438745.2_ASM43874v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/745/GCA_000438745.2_ASM43874v2
"Listeria monocytogenes serotype 1/2a str. 08-6569","08-6569",20017,SAMN05771122 ,PRJNA167896,"Terrabacteria group","Firmicutes",GCA_000513595.1 ,3.03262,38,chromosome:NZ_CP006858.1/CP006858.1,-,1,3122,3014,2014/01/07,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/595/GCF_000513595.1_ASM51359v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/595/GCA_000513595.1_ASM51359v1
"Listeria monocytogenes serotype 4b str. 81-0861","81-0861",20017,SAMN05771116 ,PRJNA167874,"Terrabacteria group","Firmicutes",GCA_000513615.1 ,2.9744,38,chromosome:NZ_CP006874.1/CP006874.1,-,1,3025,2904,2014/01/07,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/615/GCF_000513615.1_ASM51361v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/615/GCA_000513615.1_ASM51361v1
"Listeria monocytogenes serotype 1/2a str. 08-6997","08-6997",20017,SAMN05771121 ,PRJNA167897,"Terrabacteria group","Firmicutes",GCA_000513635.1 ,3.03262,38,chromosome:NZ_CP006859.1/CP006859.1,-,1,3123,3015,2014/01/07,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/635/GCF_000513635.1_ASM51363v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/635/GCA_000513635.1_ASM51363v1
"Listeria monocytogenes serotype 1/2a str. 10-0815","10-0815",20017,SAMN05771120 ,PRJNA167901,"Terrabacteria group","Firmicutes",GCA_000513655.1 ,3.03262,38,chromosome:NZ_CP006860.1/CP006860.1,-,1,3123,3015,2014/01/07,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/655/GCF_000513655.1_ASM51365v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/655/GCA_000513655.1_ASM51365v1
"Listeria monocytogenes serotype 1/2a str. 10-1047","10-1047",20017,SAMN05771119 ,PRJNA167903,"Terrabacteria group","Firmicutes",GCA_000513675.1 ,2.99821,38,chromosome:NZ_CP006861.1/CP006861.1,-,1,3075,2967,2014/01/07,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/675/GCF_000513675.1_ASM51367v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/675/GCA_000513675.1_ASM51367v1
"Listeria monocytogenes serotype 1/2a str. 88-0478","88-0478",20017,SAMN05771118 ,PRJNA167889,"Terrabacteria group","Firmicutes",GCA_000513695.1 ,2.99435,38,chromosome:NZ_CP006862.1/CP006862.1,-,1,3074,2966,2014/01/07,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/695/GCF_000513695.1_ASM51369v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/695/GCA_000513695.1_ASM51369v1
"Listeria monocytogenes WSLC1001","WSLC1001",20017,SAMN02743815 ,PRJNA236721,"Terrabacteria group","Firmicutes",GCA_000568475.1 ,2.95124,38,chromosome:NZ_CP007160.1/CP007160.1,-,1,3028,2894,2014/02/12,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/568/475/GCF_000568475.1_ASM56847v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/475/GCA_000568475.1_ASM56847v1
"Listeria monocytogenes WSLC1042","WSLC1042",20017,SAMN02743817 ,PRJNA236791,"Terrabacteria group","Firmicutes",GCA_000568935.1 ,2.94217,38,chromosome:NZ_CP007210.1/CP007210.1,-,1,2978,2843,2014/02/14,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/568/935/GCF_000568935.1_ASM56893v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/935/GCA_000568935.1_ASM56893v1
"Listeria monocytogenes 6179","6179",20017,SAMEA3138937 ,PRJEB1355,"Terrabacteria group","Firmicutes",GCA_000577745.1 ,3.07283,37.8717,chromosome:NZ_HG813249.1/HG813249.1; plasmid LM6179:NZ_HG813250.1/HG813250.1,-,2,3151,3057,2014/02/10,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/577/745/GCF_000577745.1_6179_18022011,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/577/745/GCA_000577745.1_6179_18022011
"Listeria monocytogenes EGD","EGD",20017,SAMEA3138952 ,PRJEB4153,"Terrabacteria group","Firmicutes",GCA_000582845.1 ,2.90719,38,chromosome I:NC_022568.1/HG421741.1,-,1,2968,2841,2013/09/15,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/582/845/GCF_000582845.1_SV_1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/582/845/GCA_000582845.1_SV_1
"Listeria monocytogenes","NE dc2014",20017,SAMN02689320 ,PRJNA241322,"Terrabacteria group","Firmicutes",GCA_000600015.1 ,2.90466,38,chromosome:NZ_CP007492.1/CP007492.1,-,1,2943,2825,2014/03/25,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/015/GCF_000600015.1_ASM60001v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/015/GCA_000600015.1_ASM60001v1
"Listeria monocytogenes R479a","R479a",20017,SAMEA3138991 ,PRJEB5108,"Terrabacteria group","Firmicutes",GCA_000613085.1 ,3.03165,37.8743,chromosome I:NZ_HG813247.1/HG813247.1; plasmid II:NZ_HG813248.1/HG813248.1,-,2,3105,2996,2014/03/23,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/613/085/GCF_000613085.1_R479A_18022011,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/613/085/GCA_000613085.1_R479A_18022011
"Listeria monocytogenes","CFSAN006122",20017,SAMN02318985 ,PRJNA215355,"Terrabacteria group","Firmicutes",GCA_000681515.1 ,2.90667,38,chromosome:NZ_CP007600.1/CP007600.1,-,1,2944,2834,2014/05/06,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/681/515/GCF_000681515.1_ASM68151v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/681/515/GCA_000681515.1_ASM68151v1
"Listeria monocytogenes","Lm60",20017,SAMN03003922 ,PRJNA255073,"Terrabacteria group","Firmicutes",GCA_000746625.1 ,2.98959,38,chromosome:NZ_CP009258.1/CP009258.1,-,1,3074,2953,2014/08/29,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/625/GCF_000746625.1_ASM74662v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/625/GCA_000746625.1_ASM74662v1
"Listeria monocytogenes","NTSN",20017,SAMN03177401 ,PRJNA267024,"Terrabacteria group","Firmicutes",GCA_000800335.1 ,2.9045,38,chromosome:NZ_CP009897.1/CP009897.1,-,1,2941,2824,2014/12/09,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/800/335/GCF_000800335.1_ASM80033v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/335/GCA_000800335.1_ASM80033v1
"Listeria monocytogenes","IZSAM_Lm_hs2008",20017,SAMN03073546 ,PRJNA261392,"Terrabacteria group","Firmicutes",GCA_000808055.1 ,2.90423,38,chromosome:NZ_CP010346.1/CP010346.1,-,1,2943,2829,2014/12/29,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/808/055/GCF_000808055.1_ASM80805v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/808/055/GCA_000808055.1_ASM80805v1
"Listeria monocytogenes","N2306",20017,SAMN03372633 ,PRJNA276441,"Terrabacteria group","Firmicutes",GCA_000950775.1 ,2.91164,38.1,chromosome:NZ_CP011004.1/CP011004.1,-,1,2939,2821,2015/03/11,2018/01/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/950/775/GCF_000950775.1_ASM95077v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/950/775/GCA_000950775.1_ASM95077v1
"Listeria monocytogenes","CFSAN008100",20017,SAMN02689388 ,PRJNA215355,"Terrabacteria group","Firmicutes",GCA_001005925.2 ,3.1081,37.9495,chromosome:NZ_CP011398.2/CP011398.2; plasmid pCFSAN008100:NZ_CP011399.1/CP011399.1,-,2,3206,3080,2015/05/11,2018/05/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/005/925/GCF_001005925.2_ASM100592v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/005/925/GCA_001005925.2_ASM100592v2
"Listeria monocytogenes","CFSAN007956",20017,SAMN02569973 ,PRJNA215355,"Terrabacteria group","Firmicutes",GCA_001005985.1 ,2.91817,38,chromosome:NZ_CP011397.1/CP011397.1,-,1,2988,2871,2015/05/11,2017/02/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/005/985/GCF_001005985.1_ASM100598v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/005/985/GCA_001005985.1_ASM100598v1
